Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,88.900002,89.199997,85.500000,85.500000,57.118599,959000
2012-01-03,86.000000,87.400002,86.000000,86.599998,57.853455,1337000
2012-01-04,87.000000,88.500000,86.400002,86.500000,57.786652,1097000
2012-01-05,86.500000,87.900002,85.400002,86.800003,57.987068,832000
2012-01-06,86.800003,87.800003,86.500000,86.500000,57.786652,865000
2012-01-09,86.500000,87.800003,86.000000,86.400002,57.719856,948000
2012-01-10,87.199997,89.599998,87.199997,87.599998,58.521511,1314000
2012-01-11,89.000000,89.900002,87.800003,88.800003,59.323181,1727000
2012-01-12,88.800003,89.400002,86.500000,86.599998,57.853455,1090000
2012-01-13,87.300003,87.800003,86.599998,86.900002,58.053883,1259000
2012-01-16,87.800003,88.800003,86.699997,86.900002,58.053883,1072000
2012-01-17,88.000000,91.400002,87.400002,90.800003,60.659294,2997000
2012-01-18,90.800003,91.599998,88.699997,89.000000,59.456783,1751000
2012-01-30,91.000000,91.300003,89.699997,90.000000,60.124836,1075000
2012-01-31,91.000000,96.300003,90.000000,96.300003,64.333580,3150000
2012-02-01,97.000000,101.000000,97.000000,99.300003,66.337746,4649000
2012-02-02,100.500000,103.000000,98.500000,99.300003,66.337746,3037000
2012-02-03,98.900002,101.000000,96.699997,96.699997,64.600800,1631000
2012-02-06,98.800003,104.500000,98.500000,101.000000,67.473434,3965000
2012-02-07,101.000000,103.000000,99.500000,100.500000,67.139404,1998000
2012-02-08,101.000000,103.500000,100.000000,102.500000,68.475510,2475000
2012-02-09,103.000000,107.500000,102.000000,105.000000,70.145645,5816000
2012-02-10,105.500000,106.500000,101.000000,101.000000,67.473434,2583000
2012-02-13,100.000000,100.500000,98.199997,99.500000,66.471344,1632000
2012-02-14,99.500000,99.500000,98.000000,98.500000,65.803299,1104000
2012-02-15,99.000000,101.000000,99.000000,99.500000,66.471344,1337000
2012-02-16,99.500000,100.500000,93.900002,95.599998,63.865936,1973000
2012-02-17,97.000000,97.500000,92.900002,93.000000,62.128998,1878000
2012-02-20,94.000000,96.000000,93.500000,96.000000,64.133156,1308000
2012-02-21,98.300003,99.500000,96.800003,98.699997,65.936913,2350000
2012-02-22,99.500000,101.000000,98.199997,98.500000,65.803299,1754000
2012-02-23,98.500000,100.000000,97.000000,97.000000,64.801208,1241000
2012-02-24,97.099998,97.699997,94.699997,95.000000,63.465111,1225000
2012-02-29,95.699997,97.199997,95.199997,96.000000,64.133156,927000
2012-03-01,96.800003,96.800003,95.199997,95.699997,63.932755,472000
2012-03-02,97.000000,102.000000,97.000000,102.000000,68.141495,3587000
2012-03-05,99.900002,99.900002,96.500000,96.599998,64.533997,900000
2012-03-06,97.500000,97.500000,94.000000,96.500000,64.467178,1005000
2012-03-07,94.500000,97.400002,94.500000,96.300003,64.333580,860000
2012-03-08,96.800003,98.500000,96.500000,97.199997,64.934822,804000
2012-03-09,97.800003,98.199997,97.000000,97.199997,64.934822,687000
2012-03-12,98.300003,100.000000,96.800003,97.000000,64.801208,1235000
2012-03-13,98.000000,98.300003,96.900002,97.000000,64.801208,501000
2012-03-14,99.000000,99.000000,96.800003,97.300003,65.001633,898000
2012-03-15,97.500000,98.000000,97.099998,97.400002,65.068459,319000
2012-03-16,98.000000,98.400002,97.199997,97.199997,64.934822,544000
2012-03-19,97.800003,97.900002,95.500000,95.800003,63.999561,459000
2012-03-20,96.000000,96.699997,94.599998,94.800003,63.331509,717000
2012-03-21,94.800003,96.099998,94.699997,95.000000,63.465111,566000
2012-03-22,95.300003,97.500000,95.199997,95.900002,64.066360,819000
2012-03-23,96.000000,98.300003,96.000000,97.900002,65.402458,2124000
2012-03-26,98.400002,99.400002,97.900002,97.900002,65.402458,960000
2012-03-27,98.400002,98.800003,95.800003,96.599998,64.533997,749000
2012-03-28,97.000000,97.300003,96.199997,97.000000,64.801208,940000
2012-03-29,97.000000,97.300003,91.599998,94.900002,63.398304,2166000
2012-03-30,94.900002,94.900002,93.000000,94.099998,62.863857,753000
2012-04-02,95.000000,95.000000,93.900002,94.099998,62.863857,477000
2012-04-03,95.199997,95.199997,91.300003,92.300003,61.661377,809000
2012-04-05,91.000000,91.199997,89.800003,91.000000,60.792896,706000
2012-04-06,92.199997,94.500000,91.000000,93.800003,62.663448,1037000
2012-04-09,93.000000,93.400002,92.199997,92.599998,61.861786,347000
2012-04-10,92.699997,94.000000,91.800003,92.800003,61.995388,632000
2012-04-11,91.500000,92.800003,91.099998,92.599998,61.861786,264000
2012-04-12,93.000000,99.000000,92.800003,97.500000,65.135239,3750000
2012-04-13,97.800003,100.500000,97.500000,99.800003,66.671776,3509000
2012-04-16,99.000000,101.000000,98.500000,99.300003,66.337746,1121000
2012-04-17,99.300003,100.000000,95.800003,95.800003,63.999561,1093000
2012-04-18,97.000000,97.300003,95.000000,95.199997,63.598721,618000
2012-04-19,95.199997,95.199997,93.000000,93.599998,62.529831,481000
2012-04-20,93.500000,93.699997,91.699997,91.900002,61.394146,807000
2012-04-23,92.000000,92.800003,90.900002,91.400002,61.060116,543000
2012-04-24,90.900002,92.000000,90.199997,90.500000,60.458858,584000
2012-04-25,91.099998,92.400002,90.900002,91.500000,61.126923,739000
2012-04-26,92.000000,92.500000,90.099998,90.300003,60.325260,635000
2012-04-27,90.500000,91.500000,89.199997,89.199997,59.590397,555000
2012-04-30,89.199997,89.599998,88.000000,88.599998,59.189568,666000
2012-05-02,89.400002,93.199997,89.099998,92.900002,62.062199,766000
2012-05-03,92.500000,92.900002,91.599998,92.099998,61.527748,408000
2012-05-04,92.099998,93.900002,91.599998,93.500000,62.463020,614000
2012-05-07,92.199997,93.500000,92.000000,92.500000,61.794971,226000
2012-05-08,92.500000,93.500000,92.000000,92.000000,61.460949,357000
2012-05-09,91.599998,92.599998,91.500000,91.599998,61.193733,194000
2012-05-10,91.599998,92.300003,91.199997,91.199997,60.926506,178000
2012-05-11,91.199997,91.300003,90.000000,90.000000,60.124836,319000
2012-05-14,90.000000,90.099998,88.199997,88.199997,58.922340,539000
2012-05-15,86.500000,88.000000,86.500000,87.699997,58.588314,395000
2012-05-16,87.699997,88.000000,86.500000,86.500000,57.786652,274000
2012-05-17,86.500000,87.500000,85.500000,86.099998,57.519432,654000
2012-05-18,86.099998,86.099998,81.199997,81.199997,54.245968,878000
2012-05-21,81.199997,82.500000,80.500000,81.000000,54.112362,573000
2012-05-22,82.500000,83.000000,80.800003,82.800003,55.314854,607000
2012-05-23,83.000000,83.000000,80.800003,81.199997,54.245968,496000
2012-05-24,81.199997,82.300003,80.199997,80.199997,53.577919,491000
2012-05-25,81.000000,82.000000,79.500000,79.500000,53.110271,468000
2012-05-28,79.500000,81.000000,78.599998,80.800003,53.978752,448000
2012-05-29,81.500000,85.300003,81.000000,83.900002,56.049713,952000
2012-05-30,85.000000,85.000000,83.000000,83.900002,56.049713,403000
2012-05-31,83.000000,85.500000,82.599998,84.500000,56.450546,285000
2012-06-01,84.500000,84.800003,82.500000,82.800003,55.314854,369000
2012-06-04,81.000000,81.500000,78.900002,79.099998,52.843056,535000
2012-06-05,80.099998,82.400002,80.099998,81.500000,54.446381,357000
2012-06-06,82.400002,83.500000,82.000000,83.500000,55.782494,346000
2012-06-07,85.099998,86.099998,83.900002,84.500000,56.450546,709000
2012-06-08,84.500000,84.500000,82.800003,83.099998,55.515266,235000
2012-06-11,84.199997,84.500000,83.699997,84.000000,56.116520,278000
2012-06-12,83.900002,85.400002,83.099998,84.800003,56.650970,275000
2012-06-13,85.500000,86.300003,84.500000,85.699997,57.252213,602000
2012-06-14,85.699997,86.699997,85.400002,85.400002,57.051796,374000
2012-06-15,86.000000,86.400002,85.500000,86.000000,57.452621,379000
2012-06-18,87.900002,88.199997,86.599998,87.099998,58.187477,553000
2012-06-19,87.699997,87.699997,86.699997,86.699997,57.920261,387000
2012-06-20,87.000000,88.500000,86.800003,87.199997,58.254292,547000
2012-06-21,87.199997,87.400002,86.500000,86.500000,57.786652,322000
2012-06-22,85.800003,86.599998,85.599998,86.199997,57.586235,307000
2012-06-25,85.099998,87.500000,85.099998,86.300003,57.653046,645000
2012-06-26,86.300003,86.400002,85.699997,85.800003,57.319023,235000
2012-06-27,85.800003,86.599998,85.699997,85.800003,57.319023,372000
2012-06-28,86.099998,86.400002,85.099998,85.699997,57.252213,313000
2012-06-29,85.699997,86.000000,85.099998,85.500000,57.118599,759000
2012-07-02,86.500000,87.400002,86.000000,86.699997,57.920261,496000
2012-07-03,86.300003,86.900002,86.300003,86.699997,57.920261,253000
2012-07-04,86.699997,87.400002,86.500000,86.599998,57.853455,387000
2012-07-05,86.699997,86.800003,86.099998,86.099998,57.519432,209000
2012-07-06,86.000000,86.400002,85.599998,85.699997,57.252213,206000
2012-07-09,85.699997,86.300003,85.000000,85.000000,56.784565,151000
2012-07-10,85.800003,85.800003,84.400002,84.599998,56.517353,292000
2012-07-11,85.800003,88.800003,85.800003,87.400002,58.387909,2095000
2012-07-12,88.000000,88.000000,85.300003,85.300003,56.984997,708000
2012-07-13,85.099998,86.800003,85.099998,86.300003,57.653046,994000
2012-07-16,87.199997,87.400002,86.400002,86.400002,57.719856,933000
2012-07-17,85.599998,86.900002,85.599998,86.300003,57.653046,413000
2012-07-18,86.300003,88.199997,86.300003,88.000000,58.788738,1315000
2012-07-19,85.900002,88.300003,85.900002,87.199997,60.310326,2240000
2012-07-20,87.400002,88.000000,86.800003,86.900002,60.102844,626000
2012-07-23,86.500000,89.300003,86.300003,88.699997,61.347771,1247000
2012-07-24,89.599998,93.500000,89.400002,93.500000,64.667603,2826000
2012-07-25,93.500000,95.500000,92.199997,94.500000,65.359245,3014000
2012-07-26,95.699997,95.699997,93.599998,94.500000,65.359245,2333000
2012-07-27,95.000000,97.000000,94.000000,96.099998,66.465843,2245000
2012-07-30,97.000000,97.000000,95.000000,95.500000,66.050873,831000
2012-07-31,95.000000,96.099998,94.800003,95.599998,66.120041,805000
2012-08-01,96.500000,99.300003,95.599998,98.000000,67.779945,1680000
2012-08-02,98.000000,98.000000,98.000000,98.000000,67.779945,0
2012-08-03,98.000000,98.699997,96.000000,96.500000,66.742500,738000
2012-08-06,97.099998,98.300003,96.699997,97.099998,67.157486,700000
2012-08-07,97.099998,97.199997,95.599998,96.400002,66.673347,476000
2012-08-08,97.000000,97.400002,96.000000,96.000000,66.396683,427000
2012-08-09,96.000000,99.500000,95.500000,98.300003,67.987434,1864000
2012-08-10,98.300003,99.900002,97.699997,98.000000,67.779945,846000
2012-08-13,97.000000,97.099998,93.599998,94.599998,65.428398,1220000
2012-08-14,93.699997,96.300003,93.699997,95.800003,66.258362,893000
2012-08-15,95.800003,96.400002,94.500000,94.500000,65.359245,635000
2012-08-16,94.800003,97.000000,94.800003,96.000000,66.396683,926000
2012-08-17,96.500000,100.000000,96.500000,98.500000,68.125763,2759000
2012-08-20,98.400002,99.300003,98.099998,98.199997,67.918282,1014000
2012-08-21,99.099998,99.800003,98.000000,98.300003,67.987434,994000
2012-08-22,99.500000,100.500000,98.699997,99.300003,68.679077,2227000
2012-08-23,99.000000,100.500000,99.000000,99.500000,68.817398,1020000
2012-08-24,99.500000,100.000000,98.500000,99.000000,68.471581,747000
2012-08-27,100.000000,100.000000,98.000000,98.199997,67.918282,820000
